nome,documento,dataNascimento,email,telefone_1,telefone_2,endereco,cep,municipio,uf,numeroEndereco,bairro,profissao,atividadeEconomica,vinculoEmpregaticio,tipoRenda,nome_gerente,email_gerente,telefone_gerente_1,telefone_gerente_2,telefone_gerente_3,id_pa,nome_pa
Bernardo Aragão,467.529.381-64,26/04/1975,mariana00@ig.com.br,61 3862 1139,+55 (011) 6201-3139,"Residencial Viana, 827, Ambrosina, 26329-966 Dias de Jesus / MA",56376329,Souza,RS,749,Califórnia,Seringueiro,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Maria Fernanda Oliveira,ana-julia09@carvalho.net,+55 84 8667-7881,+55 (041) 4167 3711,(051) 2412-2296,22,CACHOEIRA DO CAMPO
Dr. Lucca Santos,642.189.750-94,13/05/1987,alice21@silveira.com,+55 84 8770 0615,+55 84 2493 9846,"Travessa Elisa da Mata, 84, Floresta, 04264133 Souza Alegre / AM",51265-171,Silva,ES,414,Vila Nova Cachoeirinha 1ª Seção,Fundidor,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Ana da Conceição,sophia74@silveira.com,+55 31 0087 3110,21 0935-8558,81 4027-6607,22,CACHOEIRA DO CAMPO
Danilo Santos,193.678.452-19,18/12/1981,gcardoso@costa.org,0500 619 4399,(061) 4131 1548,"Largo de Caldeira, 57, Barão Homem De Melo 2ª Seção, 13602-242 Ferreira de da Luz / PB",25407-511,Moura,PR,675,Vila Maloca,Auxiliar de serviços gerais,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Vitor Hugo Teixeira,sophieramos@araujo.net,+55 (071) 2499-6111,84 5458-5582,61 8726-2530,22,CACHOEIRA DO CAMPO
Luiz Otávio Rocha,851.920.346-98,27/05/1990,oda-luz@pires.com,+55 (031) 0211 8797,+55 (061) 4914 6339,"Ladeira de Cunha, 423, Antonio Ribeiro De Abreu 1ª Seção, 41589-504 Rocha dos Dourados / RS",31467375,Almeida de Rezende,MT,36,São Pedro,Optometrista,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Augusto Nunes,maria-vitoriacaldeira@azevedo.com,+55 (031) 1588-8942,71 5544 1661,+55 21 4100 5049,23,CARANDAÍ
Heloísa Cardoso,527.903.486-00,02/06/1961,bruno62@araujo.org,0300 556 5165,0900 941 1936,"Feira de Viana, 40, Floresta, 83067772 Peixoto / RO",61123-673,Costa,RO,978,Vila Satélite,Chargista,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,COMÉRCIO,Ana Luiza Monteiro,anthony82@correia.com,(011) 0269-5578,+55 (021) 8931 3196,(031) 7885-8451,23,CARANDAÍ
Dr. João Gabriel Pinto,378.492.156-64,21/04/1974,tcorreia@azevedo.br,0800 441 6366,(011) 5086-3560,"Vale de Gonçalves, Paulo Vi, 90921-750 Alves de Goiás / CE",18484-702,da Rosa dos Dourados,DF,653,Maria Virgínia,Enfermeiro,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Caio Teixeira,sophiafernandes@melo.org,+55 51 7757 8493,+55 (061) 9662 4290,0500 864 3429,23,CARANDAÍ
Luiz Fernando Pinto,046.891.753-57,06/05/1960,samuelnunes@hotmail.com,+55 (031) 2441-0006,+55 (084) 3011 8984,"Recanto de Carvalho, 23, Cachoeirinha, 56509-159 Nascimento / TO",02057334,Freitas de Silveira,RR,70,Jardim Do Vale,Consultor,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Raul Carvalho,qfreitas@campos.net,+55 81 5318-7117,+55 (071) 9297-2924,(071) 5837-5508,24,SANTOS DUMONT
Ian Martins,321.856.407-71,02/06/1975,lorenzoviana@bol.com.br,+55 81 4682 0274,11 7827 2312,"Parque de Lima, 752, Teixeira Dias, 57195306 Cunha de Oliveira / MS",59845073,da Paz de Cardoso,MG,609,Mangabeiras,Engenheiro mecatrônico,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Mariane Oliveira,dduarte@cardoso.com,+55 61 6913-6758,31 2419-2660,(084) 4350-6531,24,SANTOS DUMONT
Maria Sophia Rodrigues,671.309.824-03,08/10/2002,vicentearaujo@silveira.org,84 0360 9787,+55 81 8852-9324,"Trevo Ribeiro, 27, Vitoria Da Conquista, 65388924 Teixeira Alegre / PE",06315218,Campos,RN,381,Vila Jardim Leblon,Produtor de eventos,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Samuel Fernandes,heloisacostela@fernandes.org,(084) 7419 8271,61 1001-2356,81 6339 9570,24,SANTOS DUMONT
Davi Luiz da Conceição,543.296.871-19,22/11/1969,heitor20@gmail.com,(031) 3058-1375,+55 (031) 1164-9412,"Loteamento Rafael das Neves, 13, Vila Nova Cachoeirinha 2ª Seção, 02037540 Martins / RO",19401323,Rocha,MA,240,Vila Do Pombal,Lanterneiro,EMPRESÁRIO,CLT,INDÚSTRIA,Ana Sophia Nunes,rfogaca@peixoto.br,+55 (061) 0513-8809,0300 887 8156,21 8716 8503,26,SÃO JOAQUIM DE BICAS
João Lucas Silva,205.398.746-47,28/01/1992,calebepeixoto@gmail.com,84 6884 5670,+55 (051) 8470-7625,"Quadra de Gomes, 601, Liberdade, 33944-406 Nogueira / RS",22963-874,da Mota do Amparo,CE,888,Esperança,Jogador de bocha,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Sr. Ian Freitas,mmonteiro@cavalcanti.br,0800 709 8394,(051) 9672 9243,+55 (084) 8584-0886,26,SÃO JOAQUIM DE BICAS
Ana Jesus,436.875.120-53,31/08/1971,daniloteixeira@lima.com,+55 (061) 4501-5318,+55 51 6853 4389,"Parque de Rodrigues, 73, Pantanal, 87670-363 Aragão de Costela / DF",16483439,Rodrigues,MA,981,Vila Mantiqueira,Estoquista,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,COMÉRCIO,Rodrigo Martins,pietravieira@fernandes.com,+55 81 2549 3967,+55 (084) 0569 1348,+55 51 6043 5903,26,SÃO JOAQUIM DE BICAS
João Vitor Almeida,642.890.573-65,15/02/2005,usilva@gmail.com,0800 338 4455,(084) 6323-8367,"Esplanada Pedro Mendes, 57, Teixeira Dias, 95006251 da Rocha / RO",78339-667,Moura,DF,13,Biquinhas,Geólogo,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Isadora Silva,qda-paz@sales.br,84 0899 3036,+55 (011) 6381-2173,+55 (071) 4395-9143,27,BELVEDERE
Isabelly Pires,108.574.369-10,03/01/1962,luiz-migueldas-neves@melo.com,+55 (051) 2427 8512,21 2016 3902,"Estrada de Oliveira, 92, Lagoinha Leblon, 05109713 Ribeiro / MG",41838931,Moura de Minas,RJ,575,Glória,Tecnólogo em produção Sucroalcooleira,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Marina Silva,fogacavalentina@lopes.org,(041) 5783-2231,41 9970-4464,51 8307 0051,27,BELVEDERE
Agatha Lima,839.065.724-47,12/04/1960,antoniorezende@gmail.com,(051) 8083-0059,+55 (084) 8355-2882,"Fazenda de Cavalcanti, 27, Jardim Felicidade, 34093-479 da Conceição da Prata / SC",02474-101,Pires,CE,774,Madre Gertrudes,Policial federal,PROFISSIONAL AUTÔNOMO,CLT,INDÚSTRIA,Vitor Gabriel Nogueira,maria-cecilia24@da.br,0900 635 6497,(031) 8246 6946,+55 61 5255-1341,27,BELVEDERE
Dra. Lívia Duarte,507.384.291-04,22/01/1960,fernandolima@uol.com.br,31 6872 8592,71 1694 9607,"Parque de Ribeiro, 52, Anchieta, 98158720 Campos / MG",26307-454,Farias da Serra,PA,88,Cônego Pinheiro 1ª Seção,Lubrificador de máquinas,ASSALARIADO,CLT,COMÉRCIO,Diogo Ferreira,tda-mota@viana.org,0800 595 3455,71 2500 9778,+55 (061) 9773-9651,28,PEDRO LEOPOLDO
Enrico Viana,897.465.302-83,12/10/1983,bruno34@bol.com.br,+55 31 7442 6454,0300 276 5457,"Parque Cauê Souza, Cdi Jatoba, 36632-040 Santos dos Dourados / RN",51597-107,da Mota,SC,653,Lourdes,Profissional de reciclagem,ASSALARIADO,CLT,SERVIÇOS,Srta. Luiza Porto,ana-julia52@viana.br,(061) 9839 9489,+55 (061) 6368-1936,+55 (021) 9344-5608,28,PEDRO LEOPOLDO
Vitória Dias,471.920.385-04,11/03/1966,nathan49@barbosa.org,+55 11 7637-6567,0500-761-1731,"Condomínio Teixeira, 245, São Gabriel, 81070205 Alves do Campo / SE",92470250,Lopes do Oeste,GO,210,Antonio Ribeiro De Abreu 1ª Seção,Camelô,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Miguel Correia,sda-costa@gomes.br,+55 (021) 6294-3700,71 8777 7523,+55 (011) 0254-0763,28,PEDRO LEOPOLDO
Sr. Ryan Castro,598.147.063-10,18/04/1975,bramos@da.br,(031) 6757 3267,+55 (041) 9160 7989,"Travessa Theo Cardoso, Varzea Da Palma, 14811-612 Costa do Galho / RS",82518-203,Barbosa,RN,130,João Paulo Ii,Lixeiro/Coletor de lixo,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,INDÚSTRIA,Benjamin Fogaça,da-rosasamuel@castro.com,+55 (081) 6117-7483,+55 31 7411 1410,(061) 3532 8306,29,MONTES CLAROS
Yasmin Ferreira,971.245.683-82,08/02/1999,mcastro@dias.br,0800 796 7739,+55 71 8511 2797,"Praia Farias, 28, Jardim Felicidade, 29142283 Ribeiro de Porto / PA",55813-716,Aragão Verde,MS,77,Vila Nova Gameleira 2ª Seção,Líder comunitário,EMPRESÁRIO,SERVIDOR PÚBLICO,SERVIÇOS,Otávio Moura,amendes@barbosa.net,+55 31 7927-9610,+55 (071) 8318 1366,+55 (011) 4934-8138,29,MONTES CLAROS
Dr. Marcos Vinicius Martins,493.508.617-39,14/03/1975,rporto@moreira.com,(021) 6138-3604,+55 (081) 2014 9445,"Área Novaes, 25, Vila Paris, 27623-572 Fogaça / SC",49915-794,da Cruz,MS,326,Nossa Senhora Do Rosário,Cardiologista,ASSALARIADO,AUTÔNOMO,COMÉRCIO,Luna Costa,gustavo-henriquepereira@da.com,+55 (071) 2189-8412,0500-690-8802,(061) 0194 8903,29,MONTES CLAROS
Emanuel Ribeiro,728.069.543-47,25/11/1960,irodrigues@hotmail.com,11 0264 4451,+55 11 7050-7873,"Quadra Nicole Pereira, 98, Vila Jardim Leblon, 48651-074 Dias / RN",27017043,Dias,AP,113,Vila Canto Do Sabiá,Coreógrafo,ASSALARIADO,SERVIDOR PÚBLICO,COMÉRCIO,Cauã Ramos,duartesophia@gomes.com,+55 (084) 3639-8272,(081) 9251 3454,(071) 3421-1672,30,CAPELA NOVA
Lorena da Cunha,253.764.910-99,31/03/1984,helena06@pinto.com,(051) 4591 8597,51 2107 7804,"Avenida de Cardoso, 74, Acaiaca, 70313-714 Pires Alegre / PR",91481476,Castro,GO,760,Vila Nova Gameleira 2ª Seção,Amolador de ferramentas,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Mariane Alves,llopes@pinto.br,71 5052 0964,+55 84 9466-7906,71 8472-2807,30,CAPELA NOVA
Srta. Maria Cecília Oliveira,405.839.267-38,08/04/1982,ana-vitoriagomes@teixeira.net,+55 61 2156-2426,+55 (051) 7863-5375,"Campo Theo Barbosa, 83, Santa Lúcia, 76839-369 da Conceição de da Conceição / MS",71558590,Martins das Pedras,PB,823,Vila Ouro Minas,Navegador,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Nathan Cavalcanti,da-mataagatha@caldeira.br,0500 811 7312,+55 11 0101 3747,71 7608-7611,30,CAPELA NOVA
Rafael Barros,743.615.298-09,06/11/1993,zda-mata@pires.com,31 1426 2621,(031) 2334 5114,"Chácara Mendes, Paquetá, 83195-797 Monteiro de das Neves / PA",55609-475,Melo,TO,700,Etelvina Carneiro,Procurador de justiça,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Otávio Sales,leticiacaldeira@farias.org,21 6008-0131,84 4629-0030,0300-996-9080,32,CONSELHEIRO LAFAIETE
Henrique Vieira,214.308.956-24,23/02/1998,sofiada-conceicao@ig.com.br,+55 81 8255-4029,21 3862 7264,"Campo de Silveira, 8, Esplanada, 83031031 Sales Verde / MG",69705444,da Cruz das Flores,MS,514,Vila Nova Cachoeirinha 1ª Seção,Profissional de relações públicas,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Dr. Pedro Lucas Aragão,mrocha@das.br,+55 21 1018 5886,+55 (084) 6368 7026,21 8405-4890,32,CONSELHEIRO LAFAIETE
Fernanda Oliveira,326.754.198-00,25/05/1969,vieiraemanuelly@moraes.com,(011) 7648-3782,(084) 9933 1867,"Lagoa Gonçalves, Cenaculo, 73621995 Rodrigues / SC",58712821,Aragão da Mata,CE,395,Acaba Mundo,Economista doméstico,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Sra. Larissa Cardoso,fbarbosa@moreira.com,(081) 3939 5295,(031) 1957 4335,+55 (071) 1571-3673,32,CONSELHEIRO LAFAIETE
Lorena Martins,068.512.943-89,29/10/1980,ana-carolina53@yahoo.com.br,+55 (031) 1823 3597,+55 71 8018 8741,"Praia Souza, 32, Prado, 64412387 Almeida / TO",62062461,Pereira da Prata,AP,882,Floresta,Barbeiro,ASSALARIADO,CLT,INDÚSTRIA,Dra. Mirella Ribeiro,kmonteiro@carvalho.com,84 0562 3066,+55 84 9626 2961,(011) 9292 9127,33,COOPERCEMT
Nicolas Ferreira,369.574.812-55,21/09/1993,augusto57@gmail.com,51 3599 1160,+55 (031) 7137-4635,"Morro Isabelly da Cunha, Xodo-Marize, 81922182 Mendes de Jesus / GO",81713562,Barros da Praia,MA,382,Vila Santo Antônio,Judoca,ASSALARIADO,CLT,SERVIÇOS,Ana Carolina Aragão,zmelo@da.com,+55 84 8961-2712,+55 61 5512-5157,+55 41 4860 9161,33,COOPERCEMT
Yuri Lopes,374.109.825-60,24/02/1967,melissa19@da.org,+55 (011) 6396-4673,+55 21 6549 1617,"Sítio de Ferreira, 5, Granja Werneck, 79054-185 Ferreira / CE",74143225,Silva Paulista,SC,30,Vila Puc,Ajudante de produção,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Ana Cunha,larabarros@fernandes.br,0300-747-0372,0800-115-5529,+55 41 2095-0639,33,COOPERCEMT
Sr. Bernardo Castro,703.659.421-70,14/07/1991,inovaes@uol.com.br,(061) 0921-8034,+55 31 9742 5796,"Fazenda Barbosa, 482, Ouro Minas, 35262-692 Azevedo / GO",36975-869,da Rosa Verde,AM,643,Heliopolis,Técnico de gesso,ASSALARIADO,CLT,INDÚSTRIA,Pietra Cardoso,falmeida@duarte.br,(071) 7554-1722,+55 (031) 6167-5861,+55 (021) 0896 2086,34,CARANAÍBA
Lavínia da Paz,029.167.835-12,04/06/1996,tcostela@azevedo.com,+55 81 3285 1003,+55 (011) 2128 3062,"Trevo de Rocha, Castelo, 67916297 Silveira dos Dourados / BA",33811714,Correia do Norte,MG,424,Vila Da Amizade,Empresário,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Alice Barbosa,salesmariane@moura.com,+55 (051) 2001-0464,+55 (071) 3630 6553,+55 (084) 9436 4266,34,CARANAÍBA
Sr. João Farias,847.913.620-04,30/10/1973,ofernandes@bol.com.br,11 0882 7895,0500-418-1929,"Feira de Pires, 581, Acaiaca, 25774-454 Farias / BA",82793-745,Dias do Galho,TO,454,Engenho Nogueira,Operador de telemarketing,ASSALARIADO,SERVIDOR PÚBLICO,COMÉRCIO,Nicole Ferreira,isabella46@azevedo.br,+55 31 4741 0933,+55 11 6087 6797,11 8606-9980,34,CARANAÍBA
João Gabriel Monteiro,973.046.158-93,05/04/2002,caue16@bol.com.br,+55 41 3182 5578,+55 (021) 0878-9762,"Estrada Ryan Rodrigues, 74, Cinquentenário, 91809-699 Correia / MT",54855-084,Gomes,GO,594,Santo André,Profissional de recursos humanos,EMPRESÁRIO,CLT,COMÉRCIO,Sr. Noah Pereira,lucca27@ribeiro.org,+55 (051) 3275 8950,+55 84 1941 9689,+55 31 8537 3062,35,CIDADE INDUSTRIAL
André Lopes,673.185.490-57,21/02/1960,da-cunhasarah@da.net,71 1197-4023,+55 51 7907 8735,"Parque Nascimento, 88, Glória, 49673378 Silva / PE",94953-841,da Costa Paulista,MS,113,Olhos D'água,Engenheiro cartográfico,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Sra. Helena Santos,piresfernando@ferreira.br,+55 (011) 3007 3330,+55 (021) 1289 2219,71 9744-9628,35,CIDADE INDUSTRIAL
Agatha Aragão,368.027.514-53,10/01/1983,esther32@bol.com.br,(021) 8177-8848,71 5530 2413,"Quadra Lorena Ramos, Nova Gameleira, 99948320 Lima da Praia / DF",27724933,Carvalho do Oeste,MA,820,Dom Silverio,Ourives,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Enrico Ribeiro,qcunha@monteiro.br,84 9161-1669,71 0928 2747,+55 21 0072-8732,35,CIDADE INDUSTRIAL
Maria Sophia Gomes,053.842.179-79,24/07/2003,zpereira@santos.br,+55 21 5631 1918,+55 (084) 4017-7785,"Trevo de Ribeiro, 67, Castelo, 74032745 Cavalcanti / PR",23476598,Mendes,AM,260,Alta Tensão 2ª Seção,Surfista,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,COMÉRCIO,Srta. Alice Castro,fcostela@nascimento.com,(041) 2103-3487,(041) 4070-9272,41 6132 7109,36,BARREIRO
Bruno Cunha,349.107.268-96,06/11/1961,fogacarodrigo@gmail.com,(061) 8582-2855,+55 (011) 1939-5904,"Favela de Moreira, 1, João Paulo Ii, 39578-287 Cavalcanti / MS",73489-281,Nascimento Verde,MT,861,Padre Eustáquio,Naturólogo,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Luigi Pires,fogacabenicio@fogaca.br,+55 81 8828-7183,0900 714 8537,+55 (071) 4101-6064,36,BARREIRO
Sr. Arthur Mendes,054.167.893-01,30/12/1982,imartins@uol.com.br,81 9451-5425,0900-221-8350,"Morro de Porto, São Salvador, 60970-356 Barros de Ribeiro / GO",95884-632,Santos do Amparo,CE,766,Vila Nova Gameleira 1ª Seção,Secretária,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Thales Ferreira,ramosvitoria@almeida.com,(061) 3119 6769,(031) 1398-5656,(084) 2885 3902,36,BARREIRO
Miguel das Neves,295.463.810-98,25/11/1969,caue35@ig.com.br,+55 (011) 4058-0937,0900-000-0239,"Residencial Peixoto, 97, Madre Gertrudes, 39113-196 Cavalcanti / RO",24087814,Porto,MA,780,Floramar,Profissional de logística,PROFISSIONAL AUTÔNOMO,CLT,COMÉRCIO,João Guilherme Campos,maria-vitoria11@caldeira.org,+55 (041) 8060-2173,+55 (084) 3679-7409,+55 (041) 8978 8418,37,ALBERTO MELO
Letícia Campos,485.629.371-00,05/10/1977,calebepereira@yahoo.com.br,11 2886-8830,+55 (041) 7582-2603,"Vila de da Luz, 10, Salgado Filho, 16204438 Silveira do Oeste / AP",11139-769,Azevedo de Duarte,AC,309,Vila Engenho Nogueira,Corretor de imóveis,ASSALARIADO,CLT,INDÚSTRIA,Sr. Murilo das Neves,joao-lucasda-cruz@fogaca.br,0800 526 3715,(071) 0903-6755,41 8569-6969,37,ALBERTO MELO
Theo Castro,739.251.086-02,09/01/2005,hda-rocha@hotmail.com,+55 (021) 7782-6538,+55 (051) 1644 8069,"Residencial Cauê Ramos, Confisco, 66713808 da Costa / TO",72390-988,Oliveira do Norte,ES,578,Grota,Reumatologista,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Eloah Costa,joao-guilhermevieira@silveira.br,51 7081 2047,+55 (011) 0969-6661,0800-575-1394,37,ALBERTO MELO
Dra. Emanuella Moraes,469.701.235-61,12/05/1964,da-rochajoao-miguel@cardoso.com,21 1960 8223,+55 (081) 4837-9683,"Praça Maitê Ribeiro, 9, Bernadete, 32889628 Sales / PR",44467-895,Martins de Goiás,RS,847,Monte São José,Infectologista,EMPRESÁRIO,SERVIDOR PÚBLICO,SERVIÇOS,Luiz Felipe Castro,oliveiraagatha@gomes.com,+55 31 0042 3232,61 2413 6132,+55 (031) 3586 5746,38,TAPAJÓS
Paulo Carvalho,183.450.269-15,30/06/1983,heitoraragao@uol.com.br,0900-570-4402,+55 (061) 3982 1837,"Feira Ian da Paz, Novo São Lucas, 55878604 Pinto / AP",27211-940,Moraes,SE,587,São Jorge 3ª Seção,Garimpeiro,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Dr. Rodrigo Pereira,joao-lucasda-costa@teixeira.com,+55 (061) 2055-0736,+55 (084) 5851 3868,+55 (071) 3914 2879,38,TAPAJÓS
Nathan Rocha,025.918.634-15,02/09/1993,lopeslarissa@costela.com,(031) 6250 6356,+55 51 6248 4321,"Área Theo Costa, 9, Pompéia, 87436290 Lopes / AM",33687-531,Vieira,MA,671,Jardim Felicidade,Vendedor,PROFISSIONAL AUTÔNOMO,CLT,COMÉRCIO,João Felipe Moreira,juliana46@da.com,+55 (051) 3322 5787,+55 21 8753 5972,(051) 3242 6809,38,TAPAJÓS
Sr. Henrique da Mota,680.159.327-77,26/11/1975,emanuellyduarte@gmail.com,+55 (031) 6885-9518,71 5074 3210,"Núcleo de Teixeira, 45, Vila Independencia 1ª Seção, 91932516 Fogaça / PR",56733-545,Costela,AL,90,Sion,Garimpeiro,EMPRESÁRIO,SERVIDOR PÚBLICO,SERVIÇOS,Vitória Novaes,crodrigues@lopes.com,+55 (021) 1490-0415,+55 (081) 5202-9473,(084) 1379 6988,39,RIO ACIMA
Gabriel Castro,982.130.754-04,29/05/1969,heloisaaraujo@ig.com.br,(041) 7313 2352,+55 (071) 8840 6681,"Campo Guilherme Rocha, Nova America, 80975-481 Caldeira de Goiás / DF",68471480,da Paz da Praia,RJ,24,São Benedito,Assessor de imprensa,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Valentina Moreira,pietrorodrigues@farias.br,(021) 8894-3810,+55 61 0273 9126,+55 (041) 0496-6220,39,RIO ACIMA
Larissa Sales,396.720.158-95,14/01/1961,maria-vitorianovaes@almeida.net,+55 84 1817-3995,+55 (011) 0698-5597,"Fazenda de Araújo, 196, Cinquentenário, 66627-248 Silva do Sul / ES",79352435,Silveira,TO,215,Vila Nossa Senhora Do Rosário,Serventuário,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Brenda Rodrigues,maria90@lopes.com,+55 (081) 9338-6417,0800 933 6914,11 0126 4743,39,RIO ACIMA
Sophie Rodrigues,510.978.623-21,03/09/1959,maria-alicelopes@rezende.br,31 2190 2798,(084) 7646 0558,"Alameda Alana Freitas, 15, Braúnas, 05325997 Monteiro de Sales / PR",01859-064,Vieira,MA,718,Conjunto Celso Machado,Quitandeiro,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Pedro Henrique Barbosa,julia04@oliveira.com,+55 21 1828-5984,(031) 9240 2229,21 0398-6727,40,TUPICRED
Murilo Porto,852.190.376-68,16/05/1966,ana-luiza50@fogaca.br,(081) 8447-5244,61 0951 7191,"Estação Rocha, 92, Serra Do Curral, 20593147 Jesus da Prata / BA",19578801,Viana da Prata,PI,885,Bonfim,Engenheiro agrimensor,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Ana Laura da Luz,ocorreia@silva.br,+55 (051) 2303 4113,71 8326 0676,+55 (081) 1336 3256,40,TUPICRED
Ana Clara Jesus,651.240.789-01,18/12/1994,lucas-gabriel37@castro.br,+55 11 0403-9867,+55 (071) 4225 1917,"Favela Vitor Hugo Aragão, 12, Embaúbas, 77407-019 Oliveira / RO",92009-220,Ferreira,CE,516,Urca,Instrumentista musical,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Rodrigo Pires,enzo-gabrielbarbosa@costa.net,61 1482 6311,0300-634-6361,+55 (021) 2898 3170,40,TUPICRED
Sr. Antônio Lopes,210.378.594-05,24/09/1963,cardosomelissa@ig.com.br,(041) 9422-7339,+55 (081) 4588-5902,"Esplanada Cavalcanti, 93, Álvaro Camargos, 76734091 Ribeiro / AP",02202-018,da Cruz do Galho,CE,331,Floramar,Profissional de rádio e tv,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Vitor Barros,maria-vitoriarocha@duarte.br,0800-577-6568,41 9848-7205,51 8858 5828,97,PA DIGITAL
Srta. Catarina Ramos,087.256.134-80,27/01/1962,fcarvalho@ig.com.br,(084) 0910 9235,(051) 6974-7680,"Residencial Anthony Teixeira, 47, Camponesa 2ª Seção, 89482-351 Nunes / RN",61156929,Correia da Serra,AP,849,Vila Antena,Cerimonialista,EMPRESÁRIO,CLT,INDÚSTRIA,Breno Pires,cardosodavi@duarte.br,61 0893 6714,81 2775-7576,+55 84 2381 1661,97,PA DIGITAL
Clara Lopes,901.746.285-01,01/10/2003,brenda14@ig.com.br,+55 (081) 6519-7344,+55 (051) 5290-6555,"Rua da Paz, 6, Vila Santa Rosa, 87746818 da Cunha de Dias / BA",65924-177,Freitas Paulista,AC,12,Olhos D'água,Cabo,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Luiz Felipe Dias,lorenzo41@peixoto.com,(081) 5921 7953,61 2832 0671,+55 31 4512 0009,97,PA DIGITAL
